18.01.2022 18:48:02
@{Name=Idle; CPU=771; PID=0}
@{Name=avguard; CPU=11; PID=4236}
@{Name=Taskmgr; CPU=5; PID=13500}
@{Name=WmiPrvSE#1; CPU=5; PID=17720}
@{Name=dwm; CPU=5; PID=17648}
@{Name=explorer; CPU=5; PID=7368}
@{Name=svchost#1; CPU=0; PID=1316}
@{Name=svchost#5; CPU=0; PID=1604}
@{Name=svchost#4; CPU=0; PID=1596}
@{Name=svchost#3; CPU=0; PID=1588}
@{Name=svchost#2; CPU=0; PID=1372}
@{Name=steamwebhelper#3; CPU=0; PID=16768}
@{Name=steamwebhelper#2; CPU=0; PID=6796}
@{Name=steamwebhelper#1; CPU=0; PID=17468}
@{Name=steamwebhelper#4; CPU=0; PID=17836}
@{Name=svchost; CPU=0; PID=1192}
@{Name=steamwebhelper#6; CPU=0; PID=12488}
@{Name=steamwebhelper#5; CPU=0; PID=13504}
@{Name=svchost#15; CPU=0; PID=2228}
@{Name=svchost#14; CPU=0; PID=1336}
@{Name=svchost#13; CPU=0; PID=2040}
@{Name=svchost#16; CPU=0; PID=2296}
@{Name=svchost#19; CPU=0; PID=2412}
@{Name=svchost#18; CPU=0; PID=2404}
@{Name=svchost#17; CPU=0; PID=2324}
@{Name=svchost#8; CPU=0; PID=1752}
@{Name=svchost#7; CPU=0; PID=1744}
@{Name=svchost#6; CPU=0; PID=1736}
@{Name=svchost#9; CPU=0; PID=1760}
@{Name=svchost#12; CPU=0; PID=2004}
@{Name=svchost#11; CPU=0; PID=1988}
@{Name=svchost#10; CPU=0; PID=1768}
@{Name=steamwebhelper; CPU=0; PID=3140}
@{Name=notepad#3; CPU=0; PID=4532}
@{Name=notepad#2; CPU=0; PID=7812}
@{Name=notepad#1; CPU=0; PID=19060}
@{Name=notepad#4; CPU=0; PID=17200}
@{Name=notepad#7; CPU=0; PID=5012}
@{Name=notepad#6; CPU=0; PID=4056}
@{Name=notepad#5; CPU=0; PID=20008}
@{Name=fontdrvhost#1; CPU=0; PID=18368}
@{Name=fontdrvhost; CPU=0; PID=1220}
@{Name=dllhost; CPU=0; PID=8376}
@{Name=jusched; CPU=0; PID=16000}
@{Name=notepad; CPU=0; PID=1240}
@{Name=node; CPU=0; PID=1720}
@{Name=lsass; CPU=0; PID=1056}
@{Name=powershell; CPU=0; PID=17920}
@{Name=sqlceip; CPU=0; PID=4908}
@{Name=spoolsv; CPU=0; PID=3688}
@{Name=smss; CPU=0; PID=456}
@{Name=sqlservr; CPU=0; PID=4900}
@{Name=steamservice; CPU=0; PID=17452}
@{Name=steam; CPU=0; PID=14056}
@{Name=sqlwriter; CPU=0; PID=4388}
@{Name=protectedservice; CPU=0; PID=4380}
@{Name=powershell_ise; CPU=0; PID=6524}
@{Name=powershell#1; CPU=0; PID=10220}
@{Name=sched; CPU=0; PID=3792}
@{Name=smartscreen; CPU=0; PID=6908}
@{Name=sihost; CPU=0; PID=18020}
@{Name=services; CPU=0; PID=1048}
@{Name=svchost#61; CPU=0; PID=7980}
@{Name=svchost#60; CPU=0; PID=13728}
@{Name=svchost#59; CPU=0; PID=4452}
@{Name=svchost#62; CPU=0; PID=10684}
@{Name=svchost#65; CPU=0; PID=3248}
@{Name=svchost#64; CPU=0; PID=10548}
@{Name=svchost#63; CPU=0; PID=6492}
@{Name=svchost#58; CPU=0; PID=1496}
@{Name=svchost#53; CPU=0; PID=6284}
@{Name=svchost#52; CPU=0; PID=4928}
@{Name=svchost#51; CPU=0; PID=4836}
@{Name=svchost#54; CPU=0; PID=6560}
@{Name=svchost#57; CPU=0; PID=8044}
@{Name=svchost#56; CPU=0; PID=7880}
@{Name=svchost#55; CPU=0; PID=6584}
@{Name=svchost#76; CPU=0; PID=8896}
@{Name=svchost#75; CPU=0; PID=3900}
@{Name=svchost#74; CPU=0; PID=16520}
@{Name=svchost#77; CPU=0; PID=20236}
@{Name=winlogon; CPU=0; PID=11964}
@{Name=wininit; CPU=0; PID=988}
@{Name=taskhostw; CPU=0; PID=8188}
@{Name=svchost#73; CPU=0; PID=17624}
@{Name=svchost#68; CPU=0; PID=12876}
@{Name=svchost#67; CPU=0; PID=7572}
